gender,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,pass_math,pass_reading,pass_writing
male,2,standard,none,B,C,C,1,1,1
female,2,free/reduced,none,F,F,F,0,0,0
male,1,standard,none,B,B,C,1,1,1
male,2,free/reduced,none,C,D,D,1,1,1
female,3,standard,completed,D,C,B,1,1,1
male,2,free/reduced,completed,A,A,A,1,1,1
male,1,standard,completed,D,D,D,1,1,1
male,3,standard,none,C,D,D,1,1,1
female,2,standard,completed,F,C,D,0,1,1
male,3,standard,none,F,F,F,0,0,0
male,1,standard,none,D,D,D,1,1,1
female,2,standard,completed,C,B,B,1,1,1
female,1,free/reduced,completed,D,C,C,1,1,1
male,2,free/reduced,none,D,D,D,1,1,1
female,2,standard,completed,D,B,B,1,1,1
male,2,free/reduced,none,D,D,D,1,1,1
male,2,free/reduced,completed,B,C,C,1,1,1
female,2,free/reduced,completed,C,B,B,1,1,1
male,3,free/reduced,none,F,F,F,0,0,0
male,1,standard,none,F,F,F,0,0,0
female,3,standard,none,B,A,A,1,1,1
female,3,standard,completed,A,A,A,1,1,1
male,1,free/reduced,completed,F,F,F,0,0,0
female,3,free/reduced,completed,F,C,C,0,1,1
female,1,standard,completed,D,B,C,1,1,1
female,2,free/reduced,completed,D,C,C,1,1,1
male,1,standard,completed,C,C,C,1,1,1
male,1,standard,none,A,B,C,1,1,1
female,2,standard,none,C,B,B,1,1,1
female,2,standard,none,D,D,C,1,1,1
female,3,free/reduced,completed,F,F,F,0,0,0
female,3,standard,completed,B,A,B,1,1,1
female,1,free/reduced,completed,F,F,F,0,0,0
female,2,standard,completed,C,C,C,1,1,1
female,3,free/reduced,completed,F,C,D,0,1,1
female,1,standard,completed,A,A,A,1,1,1
male,3,free/reduced,completed,D,D,C,1,1,1
female,2,free/reduced,none,F,D,D,0,1,1
female,1,standard,none,F,F,F,0,0,0
female,2,standard,none,D,D,C,1,1,1
male,1,free/reduced,completed,F,F,F,0,0,0
male,2,free/reduced,completed,D,D,D,1,1,1
male,1,standard,none,B,C,D,1,1,1
male,1,standard,completed,D,D,D,1,1,1
male,1,free/reduced,none,F,F,F,0,0,0
female,3,standard,none,C,B,B,1,1,1
female,2,standard,none,D,D,D,1,1,1
male,2,standard,completed,C,B,C,1,1,1
female,1,standard,none,D,D,D,1,1,1
male,2,standard,completed,C,D,D,1,1,1
female,3,standard,completed,D,B,B,1,1,1
male,2,standard,none,D,F,F,1,0,0
male,1,free/reduced,completed,F,D,D,0,1,1
male,1,free/reduced,none,F,F,F,0,0,0
female,2,free/reduced,none,F,F,F,0,0,0
female,3,free/reduced,none,C,C,C,1,1,1
female,2,standard,completed,D,B,B,1,1,1
female,2,free/reduced,none,D,B,C,1,1,1
male,2,standard,none,D,C,D,1,1,1
female,2,standard,none,F,D,D,0,1,1
male,2,standard,none,F,F,F,0,0,0
male,1,standard,completed,C,C,C,1,1,1
male,3,standard,none,B,D,D,1,1,1
male,1,standard,completed,B,B,C,1,1,1
female,2,free/reduced,none,C,B,C,1,1,1
female,2,free/reduced,none,F,D,D,0,1,1
male,1,free/reduced,completed,B,C,C,1,1,1
male,2,free/reduced,none,F,F,F,0,0,0
female,1,free/reduced,none,F,D,D,0,1,1
male,2,free/reduced,completed,D,F,F,1,0,0
male,1,standard,completed,B,A,B,1,1,1
male,1,standard,completed,B,B,C,1,1,1
female,2,free/reduced,completed,B,B,B,1,1,1
female,1,free/reduced,none,F,F,F,0,0,0
male,1,free/reduced,none,D,C,C,1,1,1
male,1,standard,completed,D,F,F,1,0,0
female,1,standard,completed,F,D,C,0,1,1
male,2,standard,none,B,B,C,1,1,1
female,1,free/reduced,none,F,D,D,0,1,1
male,1,standard,none,B,B,C,1,1,1
female,2,standard,completed,F,D,C,0,1,1
female,3,free/reduced,none,F,F,F,0,0,0
female,2,standard,none,C,C,C,1,1,1
male,1,standard,none,F,F,F,0,0,0
male,1,free/reduced,none,D,C,D,1,1,1
female,2,standard,completed,B,A,A,1,1,1
male,2,standard,none,C,D,D,1,1,1
male,2,standard,none,F,F,F,0,0,0
female,3,standard,none,D,B,B,1,1,1
male,1,standard,none,A,B,C,1,1,1
male,3,standard,completed,B,B,B,1,1,1
male,2,standard,none,B,C,C,1,1,1
male,3,free/reduced,none,D,D,D,1,1,1
female,1,standard,completed,D,D,C,1,1,1
male,2,standard,none,F,F,F,0,0,0
male,2,standard,none,B,B,B,1,1,1
male,1,free/reduced,completed,C,D,D,1,1,1
female,3,standard,none,B,B,B,1,1,1
female,1,standard,none,F,F,F,0,0,0
male,2,standard,none,F,F,F,0,0,0
male,1,standard,none,C,C,D,1,1,1
male,2,standard,none,B,C,C,1,1,1
male,2,standard,none,B,C,C,1,1,1
female,1,standard,completed,F,C,D,0,1,1
female,1,standard,none,D,D,D,1,1,1
male,1,standard,none,D,D,F,1,1,0
male,1,standard,completed,F,F,F,0,0,0
female,2,free/reduced,none,C,B,B,1,1,1
female,1,standard,completed,D,C,C,1,1,1
male,3,standard,none,B,B,C,1,1,1
male,1,standard,none,F,F,F,0,0,0
female,2,standard,none,D,C,C,1,1,1
female,2,free/reduced,none,D,C,D,1,1,1
male,2,standard,completed,C,C,C,1,1,1
female,2,standard,none,C,C,C,1,1,1
female,3,free/reduced,completed,D,B,B,1,1,1
female,1,free/reduced,completed,D,C,C,1,1,1
male,2,standard,completed,C,C,C,1,1,1
female,1,free/reduced,none,F,F,F,0,0,0
female,1,standard,none,A,A,A,1,1,1
male,1,standard,none,C,C,D,1,1,1
male,1,free/reduced,none,F,F,F,0,0,0
female,3,standard,none,D,C,B,1,1,1
female,1,standard,none,D,C,C,1,1,1
female,2,standard,completed,B,A,A,1,1,1
female,2,free/reduced,none,C,C,C,1,1,1
male,3,standard,none,D,D,D,1,1,1
male,2,standard,none,F,F,F,0,0,0
female,2,free/reduced,none,F,F,F,0,0,0
female,2,standard,none,D,C,C,1,1,1
male,2,standard,completed,B,B,C,1,1,1
male,3,standard,none,B,C,C,1,1,1
female,1,standard,completed,B,A,A,1,1,1
female,1,standard,completed,F,D,C,0,1,1
female,1,free/reduced,none,D,B,B,1,1,1
male,3,free/reduced,none,C,F,F,1,0,0
male,1,standard,none,F,F,F,0,0,0
male,1,standard,none,F,F,F,0,0,0
female,3,free/reduced,none,C,C,B,1,1,1
female,2,free/reduced,completed,C,C,C,1,1,1
female,1,standard,none,F,F,F,0,0,0
male,2,standard,completed,B,B,B,1,1,1
male,2,standard,completed,A,B,B,1,1,1
female,1,standard,none,D,B,B,1,1,1
male,3,free/reduced,none,B,C,C,1,1,1
male,1,standard,completed,C,C,C,1,1,1
male,2,standard,none,C,C,D,1,1,1
male,1,standard,none,B,C,C,1,1,1
male,1,standard,completed,D,D,F,1,1,0
female,3,standard,none,D,C,C,1,1,1
male,1,free/reduced,completed,C,C,B,1,1,1
male,2,free/reduced,none,D,D,D,1,1,1
male,1,standard,completed,F,F,F,0,0,0
male,2,standard,completed,C,C,D,1,1,1
male,1,free/reduced,completed,F,F,F,0,0,0
male,2,free/reduced,none,A,B,C,1,1,1
male,2,free/reduced,completed,B,C,B,1,1,1
male,1,free/reduced,none,F,F,F,0,0,0
female,2,standard,completed,D,B,B,1,1,1
male,2,standard,none,B,C,D,1,1,1
female,2,standard,completed,C,C,B,1,1,1
male,2,standard,none,D,D,D,1,1,1
male,2,standard,completed,A,B,B,1,1,1
male,1,standard,none,F,F,F,0,0,0
female,2,free/reduced,none,F,C,D,0,1,1
female,1,free/reduced,none,F,F,F,0,0,0
female,2,standard,none,C,C,B,1,1,1
male,3,standard,none,D,D,F,1,1,0
male,3,standard,completed,D,D,D,1,1,1
female,2,free/reduced,completed,D,D,D,1,1,1
female,3,standard,completed,F,D,C,0,1,1
male,1,standard,none,C,D,D,1,1,1
female,3,standard,completed,C,B,A,1,1,1
male,2,standard,none,B,C,C,1,1,1
male,3,standard,none,D,C,D,1,1,1
female,2,free/reduced,none,F,D,D,0,1,1
female,1,free/reduced,completed,D,C,B,1,1,1
female,1,standard,none,C,B,C,1,1,1
female,2,standard,none,C,B,B,1,1,1
female,1,free/reduced,none,F,F,F,0,0,0
female,1,free/reduced,none,F,F,F,0,0,0
female,2,standard,none,B,A,A,1,1,1
male,2,standard,none,D,D,D,1,1,1
male,2,free/reduced,none,F,F,F,0,0,0
male,2,standard,completed,B,C,C,1,1,1
female,1,standard,none,F,F,F,0,0,0
male,1,standard,none,C,D,D,1,1,1
male,2,standard,none,F,F,F,0,0,0
male,2,standard,completed,D,F,F,1,0,0
male,2,standard,none,A,C,B,1,1,1
female,3,standard,none,B,A,A,1,1,1
female,2,free/reduced,none,D,D,D,1,1,1
male,1,standard,completed,C,C,D,1,1,1
male,2,standard,none,F,F,F,0,0,0
female,1,free/reduced,none,F,F,F,0,0,0
female,1,free/reduced,completed,F,F,D,0,0,1
male,1,free/reduced,none,F,D,F,0,1,0
female,1,standard,none,D,C,D,1,1,1
female,1,standard,completed,D,C,C,1,1,1
male,2,standard,completed,D,C,D,1,1,1
male,2,standard,none,C,C,D,1,1,1
female,1,standard,none,C,B,C,1,1,1
male,2,standard,none,D,D,F,1,1,0
female,3,standard,completed,C,A,A,1,1,1
male,1,free/reduced,none,C,C,D,1,1,1
male,2,standard,none,B,C,C,1,1,1
female,3,standard,none,F,D,D,0,1,1
male,2,standard,none,D,F,F,1,0,0
female,2,standard,completed,D,C,B,1,1,1
female,2,standard,none,F,F,F,0,0,0
female,2,standard,none,F,C,C,0,1,1
female,3,standard,none,D,C,C,1,1,1
male,2,standard,none,D,D,D,1,1,1
female,2,free/reduced,completed,F,D,D,0,1,1
male,2,free/reduced,none,F,D,D,0,1,1
female,2,standard,none,B,A,B,1,1,1
female,1,standard,none,F,D,F,0,1,0
male,1,standard,completed,B,B,C,1,1,1
female,2,standard,none,F,F,F,0,0,0
female,1,free/reduced,none,F,F,F,0,0,0
male,2,standard,none,F,D,F,0,1,0
male,3,free/reduced,completed,F,F,D,0,0,1
male,1,standard,completed,D,F,F,1,0,0
male,3,free/reduced,none,D,D,D,1,1,1
female,1,free/reduced,none,F,D,F,0,1,0
female,1,standard,none,C,B,B,1,1,1
male,2,standard,none,B,C,C,1,1,1
female,2,free/reduced,completed,F,C,C,0,1,1
male,1,standard,none,C,C,C,1,1,1
female,2,standard,completed,B,A,A,1,1,1
female,3,standard,none,F,C,C,0,1,1
male,2,free/reduced,none,F,F,F,0,0,0
female,1,standard,none,B,A,B,1,1,1
female,3,free/reduced,completed,B,A,A,1,1,1
female,1,standard,none,C,B,C,1,1,1
male,3,standard,none,D,D,D,1,1,1
female,2,standard,none,B,B,B,1,1,1
male,2,standard,completed,B,A,A,1,1,1
male,3,free/reduced,none,C,B,C,1,1,1
female,1,free/reduced,none,F,F,F,0,0,0
female,1,free/reduced,none,F,F,F,0,0,0
female,2,standard,none,D,C,C,1,1,1
female,3,standard,none,D,C,C,1,1,1
female,2,free/reduced,none,F,C,D,0,1,1
female,1,standard,none,D,D,D,1,1,1
male,3,standard,none,C,C,C,1,1,1
male,1,free/reduced,completed,C,D,F,1,1,0
female,2,standard,none,C,D,C,1,1,1
male,2,standard,none,C,D,D,1,1,1
male,2,standard,completed,F,F,F,0,0,0
female,1,standard,completed,D,C,C,1,1,1
male,1,free/reduced,none,F,F,F,0,0,0
female,1,free/reduced,none,F,D,D,0,1,1
female,2,standard,none,B,B,A,1,1,1
male,1,standard,none,C,D,F,1,1,0
male,1,standard,none,D,F,F,1,0,0
female,1,standard,completed,F,F,D,0,0,1
male,2,standard,none,F,F,F,0,0,0
female,2,free/reduced,none,F,D,F,0,1,0
female,1,standard,completed,B,A,A,1,1,1
female,1,standard,none,F,F,D,0,0,1
female,1,standard,none,D,C,D,1,1,1
male,2,standard,completed,D,D,D,1,1,1
female,2,standard,none,B,B,C,1,1,1
female,1,free/reduced,completed,F,F,F,0,0,0
male,2,standard,completed,B,B,B,1,1,1
female,3,standard,completed,C,C,C,1,1,1
male,2,standard,completed,B,B,C,1,1,1
male,2,standard,none,C,D,D,1,1,1
male,1,standard,completed,D,D,D,1,1,1
female,3,free/reduced,completed,F,C,C,0,1,1
male,1,standard,none,B,C,D,1,1,1
male,3,standard,completed,C,C,D,1,1,1
male,2,standard,none,C,C,D,1,1,1
male,2,standard,none,D,F,D,1,0,1
male,1,free/reduced,completed,F,F,F,0,0,0
female,2,free/reduced,completed,B,A,A,1,1,1
female,1,standard,completed,F,F,D,0,0,1
female,3,free/reduced,completed,F,F,D,0,0,1
female,1,standard,completed,F,B,B,0,1,1
male,2,free/reduced,none,F,F,F,0,0,0
female,2,free/reduced,none,D,D,D,1,1,1
male,3,standard,none,B,B,B,1,1,1
male,1,free/reduced,none,D,C,D,1,1,1
male,1,free/reduced,none,D,F,F,1,0,0
male,1,free/reduced,none,D,D,F,1,1,0
male,2,free/reduced,none,D,D,F,1,1,0
female,1,standard,none,D,C,C,1,1,1
male,1,standard,none,D,F,F,1,0,0
female,1,free/reduced,none,F,F,F,0,0,0
male,1,standard,none,C,D,D,1,1,1
male,2,free/reduced,completed,F,F,F,0,0,0
male,2,standard,none,C,D,D,1,1,1
male,2,free/reduced,none,C,D,C,1,1,1
male,1,standard,none,C,F,F,1,0,0
male,1,standard,completed,B,B,B,1,1,1
female,2,standard,completed,D,B,C,1,1,1
female,1,standard,none,C,B,B,1,1,1
female,1,free/reduced,none,F,C,D,0,1,1
female,2,standard,none,C,B,C,1,1,1
male,1,free/reduced,none,C,B,C,1,1,1
female,1,standard,completed,D,C,C,1,1,1
male,2,free/reduced,none,D,D,D,1,1,1
male,1,standard,completed,B,B,B,1,1,1
male,1,standard,none,F,F,F,0,0,0
male,2,standard,none,B,C,C,1,1,1
female,2,free/reduced,completed,D,B,B,1,1,1
female,2,standard,none,A,A,A,1,1,1
female,2,free/reduced,none,D,C,C,1,1,1
male,2,free/reduced,none,D,F,F,1,0,0
female,2,free/reduced,none,F,D,D,0,1,1
male,3,free/reduced,none,F,F,F,0,0,0
female,3,standard,none,C,B,B,1,1,1
male,2,free/reduced,none,F,F,F,0,0,0
female,3,standard,none,A,A,A,1,1,1
male,1,standard,completed,C,D,D,1,1,1
male,3,free/reduced,none,F,F,F,0,0,0
male,2,free/reduced,none,F,F,F,0,0,0
female,2,standard,none,C,C,C,1,1,1
female,2,free/reduced,none,C,A,A,1,1,1
male,3,standard,completed,C,F,D,1,0,1
female,2,standard,none,B,B,A,1,1,1
female,2,free/reduced,none,F,F,F,0,0,0
male,1,free/reduced,completed,C,D,D,1,1,1
female,1,free/reduced,completed,C,B,B,1,1,1
male,2,standard,none,A,C,C,1,1,1
female,2,standard,completed,B,B,A,1,1,1
female,1,standard,none,D,D,C,1,1,1
female,2,standard,completed,D,B,B,1,1,1
female,1,standard,none,F,D,D,0,1,1
female,2,standard,completed,A,A,A,1,1,1
female,3,standard,completed,C,C,B,1,1,1
male,3,standard,completed,C,D,D,1,1,1
male,2,standard,none,B,D,C,1,1,1
female,3,standard,none,F,D,C,0,1,1
male,2,standard,none,C,C,D,1,1,1
male,1,standard,completed,C,C,D,1,1,1
female,2,free/reduced,none,F,F,F,0,0,0
male,2,free/reduced,none,D,D,D,1,1,1
male,1,standard,none,F,F,F,0,0,0
female,2,standard,none,F,F,F,0,0,0
male,1,standard,none,C,C,C,1,1,1
male,2,free/reduced,none,D,F,F,1,0,0
female,2,free/reduced,none,D,C,C,1,1,1
male,1,standard,completed,D,F,F,1,0,0
male,2,free/reduced,completed,C,B,B,1,1,1
female,2,free/reduced,none,D,B,C,1,1,1
female,2,standard,none,D,D,C,1,1,1
female,2,standard,none,B,B,A,1,1,1
female,3,standard,none,B,B,A,1,1,1
female,1,standard,none,F,D,D,0,1,1
male,1,standard,completed,D,D,D,1,1,1
female,2,standard,none,F,F,F,0,0,0
female,2,free/reduced,completed,F,C,C,0,1,1
female,1,standard,none,D,D,D,1,1,1
male,2,standard,none,C,C,C,1,1,1
female,3,standard,none,C,C,B,1,1,1
female,2,standard,completed,A,B,A,1,1,1
male,2,free/reduced,none,D,D,F,1,1,0
female,2,standard,completed,A,B,A,1,1,1
female,3,free/reduced,none,F,F,F,0,0,0
female,1,standard,none,B,B,B,1,1,1
male,1,standard,none,D,C,D,1,1,1
male,3,free/reduced,none,F,F,F,0,0,0
male,3,standard,none,C,C,C,1,1,1
female,3,standard,none,B,A,B,1,1,1
male,2,standard,none,C,C,C,1,1,1
male,1,standard,none,D,F,F,1,0,0
male,1,free/reduced,none,D,F,F,1,0,0
female,1,standard,completed,F,D,D,0,1,1
female,3,free/reduced,completed,C,A,A,1,1,1
female,1,standard,completed,C,B,B,1,1,1
female,2,standard,none,C,B,B,1,1,1
female,2,standard,completed,D,C,C,1,1,1
female,1,standard,completed,D,C,C,1,1,1
female,1,free/reduced,completed,D,C,C,1,1,1
male,2,standard,none,C,F,F,1,0,0
female,2,standard,none,A,B,B,1,1,1
male,3,standard,none,D,F,F,1,0,0
male,3,free/reduced,none,F,F,F,0,0,0
male,1,standard,completed,F,F,F,0,0,0
male,2,standard,none,D,D,F,1,1,0
male,1,free/reduced,completed,F,D,D,0,1,1
female,1,free/reduced,none,F,F,F,0,0,0
female,3,free/reduced,none,F,F,F,0,0,0
female,2,standard,none,D,C,C,1,1,1
female,2,standard,completed,D,D,C,1,1,1
female,1,standard,none,F,F,F,0,0,0
male,2,standard,completed,D,D,F,1,1,0
female,2,standard,completed,C,B,A,1,1,1
male,1,standard,completed,C,D,D,1,1,1
female,3,free/reduced,completed,D,B,B,1,1,1
male,2,standard,completed,F,D,F,0,1,0
female,1,standard,none,F,D,D,0,1,1
male,3,standard,completed,B,D,C,1,1,1
male,2,standard,completed,A,A,B,1,1,1
male,1,standard,completed,C,D,D,1,1,1
male,2,free/reduced,completed,C,B,B,1,1,1
female,2,standard,none,B,C,C,1,1,1
female,2,standard,none,B,A,B,1,1,1
female,3,standard,none,D,D,D,1,1,1
male,1,free/reduced,completed,C,B,B,1,1,1
female,1,standard,completed,A,A,A,1,1,1
male,1,standard,completed,C,D,D,1,1,1
female,1,free/reduced,none,D,D,D,1,1,1
male,3,standard,none,C,C,D,1,1,1
male,1,free/reduced,none,C,C,D,1,1,1
male,3,free/reduced,completed,B,A,B,1,1,1
female,2,standard,none,F,F,F,0,0,0
male,2,free/reduced,none,C,D,D,1,1,1
male,2,standard,none,F,F,F,0,0,0
female,2,free/reduced,none,F,F,F,0,0,0
female,2,standard,completed,F,C,C,0,1,1
male,3,free/reduced,none,D,D,D,1,1,1
female,2,free/reduced,none,F,C,C,0,1,1
male,1,standard,none,C,D,D,1,1,1
female,2,standard,completed,C,C,C,1,1,1
female,2,standard,none,D,C,C,1,1,1
male,3,standard,completed,A,A,A,1,1,1
female,2,free/reduced,completed,D,B,B,1,1,1
male,3,free/reduced,none,F,F,F,0,0,0
male,2,standard,none,F,F,F,0,0,0
female,3,free/reduced,completed,A,A,A,1,1,1
female,3,free/reduced,completed,D,C,C,1,1,1
male,1,free/reduced,none,D,F,F,1,0,0
male,3,free/reduced,none,D,D,D,1,1,1
male,2,standard,completed,C,C,C,1,1,1
male,3,standard,none,A,A,A,1,1,1
female,2,standard,none,F,D,F,0,1,0
female,1,free/reduced,completed,F,D,D,0,1,1
female,1,standard,none,C,B,C,1,1,1
male,2,free/reduced,completed,F,F,F,0,0,0
male,2,standard,completed,D,F,F,1,0,0
female,1,standard,none,B,A,B,1,1,1
female,2,free/reduced,completed,F,F,F,0,0,0
female,3,standard,none,F,D,D,0,1,1
female,1,standard,none,B,A,A,1,1,1
female,1,standard,none,C,C,B,1,1,1
female,3,free/reduced,none,D,C,C,1,1,1
female,2,standard,completed,C,C,B,1,1,1
female,2,standard,none,D,C,C,1,1,1
female,2,standard,none,D,C,C,1,1,1
female,1,standard,none,F,C,C,0,1,1
female,3,free/reduced,none,F,D,D,0,1,1
female,2,standard,none,F,D,D,0,1,1
female,1,standard,none,F,D,D,0,1,1
male,2,free/reduced,none,F,F,F,0,0,0
male,1,standard,none,C,D,F,1,1,0
male,3,standard,none,D,D,D,1,1,1
female,1,standard,none,C,C,C,1,1,1
female,3,standard,completed,A,A,A,1,1,1
female,3,standard,completed,F,C,C,0,1,1
male,1,free/reduced,none,F,F,F,0,0,0
male,1,standard,none,F,F,F,0,0,0
female,1,standard,none,D,C,C,1,1,1
female,1,standard,none,D,B,B,1,1,1
female,3,standard,none,F,D,D,0,1,1
female,1,standard,none,F,F,F,0,0,0
female,2,standard,none,C,C,B,1,1,1
male,1,free/reduced,none,D,F,F,1,0,0
male,3,free/reduced,completed,B,B,A,1,1,1
male,1,standard,none,C,C,D,1,1,1
female,2,standard,none,B,B,B,1,1,1
female,3,free/reduced,none,F,F,F,0,0,0
female,2,standard,none,D,D,D,1,1,1
female,2,standard,none,F,D,D,0,1,1
male,2,free/reduced,completed,D,D,D,1,1,1
female,2,standard,none,F,F,D,0,0,1
male,3,standard,completed,A,A,A,1,1,1
female,2,standard,none,D,C,C,1,1,1
female,2,standard,none,B,A,A,1,1,1
female,1,standard,none,D,D,C,1,1,1
female,3,standard,none,F,F,F,0,0,0
male,3,standard,none,B,C,B,1,1,1
male,3,standard,none,A,B,B,1,1,1
male,2,free/reduced,completed,D,C,D,1,1,1
female,1,free/reduced,none,F,D,F,0,1,0
